Nprocs,Time_taken
1,2.6268
2,1.32496
3,1.53312
4,1.76445
5,1.85522
6,1.53208
7,1.84855
8,1.85214
9,2.126
10,1.58007
11,1.43205
12,1.39424
13,1.47846
14,1.43696
15,1.45926
16,1.59628
17,1.72485
18,1.51983
19,1.49861
20,1.81143
21,1.84652
22,1.67479
23,2.09026
24,2.63477
25,2.14007
26,1.94703
27,1.94171
28,1.97852
29,2.10983
30,2.18142
31,2.1926
32,2.28108
33,2.46176
34,2.44312
35,2.55054
36,2.67112
37,2.79039
38,2.96015
39,2.89766
40,3.19172
